,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
1,173.27.225.118,172.31.0.2,53.0,60144.0,0.013946
3,173.27.225.118,172.31.0.2,53.0,11511.0,0.0004
5,173.27.225.118,172.31.0.2,53.0,11434.0,0.000333
7,173.27.225.118,172.31.0.2,53.0,10664.0,0.00042
9,173.27.225.118,172.31.0.2,53.0,51827.0,0.0004
11,173.27.225.118,172.31.0.2,53.0,59385.0,0.000406
13,173.27.225.118,172.31.0.2,53.0,11304.0,0.035853
15,173.27.225.118,172.31.0.2,53.0,17640.0,0.020526
17,173.27.225.118,172.31.0.2,53.0,22656.0,0.000321
19,173.27.225.118,172.31.0.2,53.0,24466.0,0.000324
21,173.27.225.118,172.31.0.2,53.0,11033.0,0.000361
23,173.27.225.118,172.31.0.2,53.0,57796.0,0.000421
25,173.27.225.118,172.31.0.2,53.0,28122.0,0.001012
27,173.27.225.118,172.31.0.2,53.0,56167.0,0.020213
29,173.27.225.118,172.31.0.2,53.0,5064.0,0.012227
31,173.27.225.118,172.31.0.2,53.0,23392.0,0.019727
33,173.27.225.118,172.31.0.2,53.0,24761.0,0.000404
35,173.27.225.118,172.31.0.2,53.0,6455.0,0.002862
37,173.27.225.118,172.31.0.2,53.0,33939.0,0.000447
39,173.27.225.118,172.31.0.2,53.0,56006.0,0.000402
41,173.27.225.118,172.31.0.2,53.0,38277.0,0.126443
43,173.27.225.118,172.31.0.2,53.0,60435.0,0.00147
45,173.27.225.118,172.31.0.2,53.0,15378.0,0.00344
47,173.27.225.118,172.31.0.2,53.0,47797.0,0.000333
49,173.27.225.118,172.31.0.2,53.0,51529.0,0.000369
51,173.27.225.118,172.31.0.2,53.0,3181.0,0.00038
53,173.27.225.118,172.31.0.2,53.0,13336.0,0.000988
55,173.27.225.118,172.31.0.2,53.0,14164.0,0.000448
57,173.27.225.118,172.31.0.2,53.0,48523.0,0.00121
59,173.27.225.118,172.31.0.2,53.0,19070.0,0.001336
61,173.27.225.118,172.31.0.2,53.0,24108.0,0.000345
63,173.27.225.118,172.31.0.2,53.0,15368.0,0.014036
65,173.27.225.118,172.31.0.2,53.0,25992.0,0.000427
67,173.27.225.118,172.31.0.2,53.0,39262.0,0.000386
69,173.27.225.118,172.31.0.2,53.0,58321.0,0.013643
71,173.27.225.118,172.31.0.2,53.0,51846.0,0.000326
73,173.27.225.118,172.31.0.2,53.0,41004.0,0.002394
75,173.27.225.118,172.31.0.2,53.0,29808.0,0.000358
77,173.27.225.118,172.31.0.2,53.0,23640.0,0.000396
79,173.27.225.118,172.31.0.2,53.0,8764.0,0.000387
81,173.27.225.118,172.31.0.2,53.0,61190.0,0.001144
83,173.27.225.118,172.31.0.2,53.0,35201.0,0.006695
85,173.27.225.118,172.31.0.2,53.0,21893.0,0.000347
87,173.27.225.118,172.31.0.2,53.0,9636.0,0.000257
89,173.27.225.118,172.31.0.2,53.0,58148.0,0.00034
91,173.27.225.118,172.31.0.2,53.0,29561.0,0.000319
93,173.27.225.118,172.31.0.2,53.0,29290.0,0.00026
95,173.27.225.118,172.31.0.2,53.0,23626.0,0.000382
97,173.27.225.118,172.31.0.2,53.0,6186.0,0.104164
99,173.27.225.118,172.31.0.2,53.0,7523.0,0.217293
101,173.27.225.118,172.31.0.2,53.0,58726.0,0.025642
104,173.27.225.118,172.31.0.2,53.0,3904.0,0.000352
105,173.27.225.118,172.31.0.2,53.0,4267.0,0.10428
108,173.27.225.118,172.31.0.2,53.0,37409.0,0.000433
109,173.27.225.118,172.31.0.2,53.0,35055.0,0.10719
111,173.27.225.118,172.31.0.2,53.0,55508.0,0.013882
113,173.27.225.118,172.31.0.2,53.0,60113.0,0.000326
117,173.27.225.118,172.31.0.2,53.0,18414.0,0.003173
118,173.27.225.118,172.31.0.2,53.0,22775.0,0.002449
119,173.27.225.118,172.31.0.2,53.0,2599.0,0.002724
121,173.27.225.118,172.31.0.2,53.0,21588.0,0.000359
123,173.27.225.118,172.31.0.2,53.0,26333.0,0.000361
125,173.27.225.118,172.31.0.2,53.0,64978.0,0.002339
128,173.27.225.118,172.31.0.2,53.0,62596.0,0.000922
129,173.27.225.118,172.31.0.2,53.0,40892.0,0.098164
133,173.27.225.118,172.31.0.2,53.0,53017.0,0.000888
134,173.27.225.118,172.31.0.2,53.0,41275.0,0.013098
135,173.27.225.118,172.31.0.2,53.0,50606.0,1.556044
137,173.27.225.118,172.31.0.2,53.0,31138.0,0.000866
143,173.27.225.118,172.31.0.2,53.0,7678.0,0.00022
144,173.27.225.118,172.31.0.2,53.0,52016.0,0.012474
145,173.27.225.118,172.31.0.2,53.0,36167.0,0.02005
146,173.27.225.118,172.31.0.2,53.0,18289.0,0.045982
147,173.27.225.118,172.31.0.2,53.0,36850.0,0.053244
149,173.27.225.118,172.31.0.2,53.0,8498.0,0.000786
151,173.27.225.118,172.31.0.2,53.0,23256.0,0.040676
153,173.27.225.118,172.31.0.2,53.0,62856.0,0.000362
155,173.27.225.118,172.31.0.2,53.0,43056.0,0.033505
157,173.27.225.118,172.31.0.2,53.0,60476.0,0.110275
159,173.27.225.118,172.31.0.2,53.0,14916.0,0.000363
161,173.27.225.118,172.31.0.2,53.0,9767.0,0.019835
163,173.27.225.118,172.31.0.2,53.0,51411.0,0.004157
165,173.27.225.118,172.31.0.2,53.0,41596.0,0.000821
167,173.27.225.118,172.31.0.2,53.0,26233.0,0.000273
169,173.27.225.118,172.31.0.2,53.0,55834.0,0.00033
171,173.27.225.118,172.31.0.2,53.0,19908.0,0.00039
173,173.27.225.118,172.31.0.2,53.0,9581.0,0.000304
175,173.27.225.118,172.31.0.2,53.0,63031.0,0.09063
